,Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,Source,FootNote,Nature,Reporting Type,Units
18995,14,14.c,14.c.1,ER_UNCLOS_RATACC,Score for the ratification of and accession to UNCLOS and its two implementing agreements (%),554,New Zealand,2021,100,2020-2021,"Division for Ocean Affairs and the Law of the Sea, Office of Legal Affairs, United Nations Secretariat",,C,G,PERCENT
18996,14,14.c,14.c.1,ER_UNCLOS_RATACC,Score for the ratification of and accession to UNCLOS and its two implementing agreements (%),586,Pakistan,2021,67,2020-2021,"Division for Ocean Affairs and the Law of the Sea, Office of Legal Affairs, United Nations Secretariat","The observation value indicated here reflects information reported by the country, and does not necessarily correspond to the information available to the depositary.",C,G,PERCENT
18997,14,14.c,14.c.1,ER_UNCLOS_RATACC,Score for the ratification of and accession to UNCLOS and its two implementing agreements (%),591,Panama,2021,100,2020-2021,"Division for Ocean Affairs and the Law of the Sea, Office of Legal Affairs, United Nations Secretariat",,C,G,PERCENT
18998,14,14.c,14.c.1,ER_UNCLOS_RATACC,Score for the ratification of and accession to UNCLOS and its two implementing agreements (%),604,Peru,2021,0,2020-2021,"Division for Ocean Affairs and the Law of the Sea, Office of Legal Affairs, United Nations Secretariat",,C,G,PERCENT
18999,14,14.c,14.c.1,ER_UNCLOS_RATACC,Score for the ratification of and accession to UNCLOS and its two implementing agreements (%),608,Philippines,2021,100,2020-2021,"Division for Ocean Affairs and the Law of the Sea, Office of Legal Affairs, United Nations Secretariat",,C,G,PERCENT
19000,14,14.c,14.c.1,ER_UNCLOS_RATACC,Score for the ratification of and accession to UNCLOS and its two implementing agreements (%),620,Portugal,2021,100,2020-2021,"Division for Ocean Affairs and the Law of the Sea, Office of Legal Affairs, United Nations Secretariat",,C,G,PERCENT
19001,14,14.c,14.c.1,ER_UNCLOS_RATACC,Score for the ratification of and accession to UNCLOS and its two implementing agreements (%),634,Qatar,2021,67,2020-2021,"Division for Ocean Affairs and the Law of the Sea, Office of Legal Affairs, United Nations Secretariat",,C,G,PERCENT
19002,14,14.c,14.c.1,ER_UNCLOS_RATACC,Score for the ratification of and accession to UNCLOS and its two implementing agreements (%),642,Romania,2021,100,2020-2021,"Division for Ocean Affairs and the Law of the Sea, Office of Legal Affairs, United Nations Secretariat",,C,G,PERCENT
19003,14,14.c,14.c.1,ER_UNCLOS_RATACC,Score for the ratification of and accession to UNCLOS and its two implementing agreements (%),703,Slovakia,2021,100,2020-2021,"Division for Ocean Affairs and the Law of the Sea, Office of Legal Affairs, United Nations Secretariat",,C,G,PERCENT
19004,14,14.c,14.c.1,ER_UNCLOS_RATACC,Score for the ratification of and accession to UNCLOS and its two implementing agreements (%),705,Slovenia,2021,100,2020-2021,"Division for Ocean Affairs and the Law of the Sea, Office of Legal Affairs, United Nations Secretariat",,C,G,PERCENT
19005,14,14.c,14.c.1,ER_UNCLOS_RATACC,Score for the ratification of and accession to UNCLOS and its two implementing agreements (%),728,South Sudan,2021,0,2020-2021,"Division for Ocean Affairs and the Law of the Sea, Office of Legal Affairs, United Nations Secretariat",,C,G,PERCENT
19006,14,14.c,14.c.1,ER_UNCLOS_RATACC,Score for the ratification of and accession to UNCLOS and its two implementing agreements (%),740,Suriname,2021,67,2020-2021,"Division for Ocean Affairs and the Law of the Sea, Office of Legal Affairs, United Nations Secretariat",,C,G,PERCENT
19007,14,14.c,14.c.1,ER_UNCLOS_RATACC,Score for the ratification of and accession to UNCLOS and its two implementing agreements (%),756,Switzerland,2021,67,2020-2021,"Division for Ocean Affairs and the Law of the Sea, Office of Legal Affairs, United Nations Secretariat",,C,G,PERCENT
19008,14,14.c,14.c.1,ER_UNCLOS_RATACC,Score for the ratification of and accession to UNCLOS and its two implementing agreements (%),826,United Kingdom of Great Britain and Northern Ireland,2021,100,2020-2021,"Division for Ocean Affairs and the Law of the Sea, Office of Legal Affairs, United Nations Secretariat",,C,G,PERCENT
